source	attribute_name	cluster_id	predicate_name	top1	top2	top3
www.mrhightech.com	bluetooth	19	bluetooth	('No', 35)		
www.makingbuyingeasy.co.uk	bluetooth	19	bluetooth	('No', 107)		
www.xpcpro.com	bluetooth	19	bluetooth	('N', 71)		
www.planet-computer.it	bluetooth	19	bluetooth	('N', 30)	('No', 14)	('Si', 3)
www.ebay.com	bluetooth	19	bluetooth	('Yes', 4)		
www.hardware-planet.it	bluetooth	19	bluetooth	('N', 41)	('No', 24)	('Si', 1)
www.mediashopuk.com	bluetooth	19	bluetooth	('No', 35)		
www.odsi.co.uk	manufacturer	10	brand	('NEC', 106)	('Viewsonic', 30)	('ACER', 26)
www.officedepot.com	manufacturer	10	brand	('Viewsonic Corporation', 42)	('ASUS Computer International', 36)	('Hewlett-Packard', 31)
www.itenergy.co.uk	brand name	10	brand	('HP', 58)	('Philips', 45)	('Acer', 40)
www.shopmania.com	brand	10	brand	('Asus', 50)	('ViewSonic', 19)	('BenQ', 19)
www.ebay.com	manufacturersupplier	10	brand	('Viewsonic Corporation', 11)	('LG Electronics', 7)	('Hewlett-Packard', 6)
www.ebay.com	brand	10	brand	('Dell', 558)	('HP', 216)	('Samsung', 206)
www.pc-canada.com	brand name	10	brand	('HP', 26)	('Asus', 25)	('Acer', 12)
www.softwarecity.ca	brand name	10	brand	('HP', 57)	('Asus', 51)	('Viewsonic', 43)
www.pc-canada.com	manufacturer	10	brand	('Hewlett-Packard', 26)	('ASUS Computer International', 25)	('Acer, Inc', 12)
www.ebay.com	manufacturer	10	brand	('Rockwell Automation', 189)	('Acer, Inc', 52)	('ASUS Computer International', 34)
www.nexus-t.co.uk	manufacturer	10	brand	('ASUS', 54)	('AOC', 40)	('BENQ', 36)
www.officedepot.com	brand name	10	brand	('Viewsonic', 43)	('Asus', 36)	('Acer', 30)
www.softwarecity.ca	manufacturer	10	brand	('Hewlett-Packard', 60)	('ASUS Computer International', 51)	('Viewsonic Corporation', 43)
ce.yikus.com	publisher	10	brand	(': Dell Computers', 30)	(': ViewSonic', 23)	(': Asus', 20)
www.kingsfieldcomputers.co.uk	brand name	10	brand	('Philips', 82)	('Acer', 65)	('HP', 47)
ce.yikus.com	studio	10	brand	(': Dell Computers', 30)	(': ViewSonic', 23)	(': Asus', 20)
www.imldirect.it	brand name	10	brand	('HP', 97)	('Acer', 90)	('Philips', 89)
ce.yikus.com	manufacturer	10	brand	(': Dell Computers', 30)	(': ViewSonic', 23)	(': Asus', 20)
ce.yikus.com	label	10	brand	(': Dell Computers', 30)	(': ViewSonic', 23)	(': Asus', 20)
ce.yikus.com	brand	10	brand	(': Dell', 31)	(': Samsung', 26)	(': ViewSonic', 24)
www.kingsfieldcomputers.co.uk	manufacturer	10	brand	('Philips Electronics', 82)	('Acer, Inc', 72)	('Hewlett-Packard', 48)
www.jrlinton.co.uk	brand name	10	brand	('Philips', 145)	('Acer', 106)	('HP', 104)
www.imldirect.it	manufacturer	10	brand	('Hewlett-Packard', 99)	('Acer, Inc', 98)	('Philips Electronics', 89)
www.jrlinton.co.uk	manufacturer	10	brand	('Philips Electronics', 145)	('Acer, Inc', 117)	('Hewlett-Packard', 106)
www.itenergy.co.uk	manufacturer	10	brand	('Hewlett-Packard', 58)	('Philips Electronics', 45)	('Acer, Inc', 44)
ca.pcpartpicker.com	manufacturer	10	brand	('Acer', 85)	('HP', 81)	('Samsung', 74)
www.odsi.co.uk	product description	70	brand	('NEC MultiSync E223W - LED monitor - 22"', 3)	('NEC MultiSync EA273WMi - LED monitor - 27"', 3)	('NEC MultiSync EA294WMi - LED monitor - 29"', 2)
www.shopmania.com	product name	70	brand	('Asus VK278Q', 1)	('Asus PB238Q', 1)	('Dell UZ2315H', 1)
www.nexus-t.co.uk	product name	70	brand	('ASUS VW199TL 19" Widescreen LCD Black Multimedia Monitor (1440 x 900/5ms/VGA/DVI)', 2)	('ASUS VN248H 23.8" Widescreen IPS LED Black Multimedia Monitor (1920x1080/5ms/VGA/2xHDMI/MHL)', 1)	('ASUS PA248Q 24.1" Wide IPS Black Monitor (1920x1200/6ms/VGA/DVI-D/HDMI/DisplayPort/Height/Pivot)', 1)
www.vology.com	product description	70	brand	('HP ProDisplay P191 - LED monitor - 18.5"', 3)	('HP Compaq L2206tm - LED monitor - 21.5"', 3)	('HP LV2011 - LED monitor - 20"', 3)
www.xpcpro.com	colour	20	color	('N', 4)	('Y', 1)	
www.best-deal-items.com	case colour	20	color	('Black', 4)		
www.softwarecity.ca	color	20	color	('Black', 222)	('Glossy Black', 11)	('Textured Black', 9)
www.vology.com	color	20	color	('Black. Black', 261)	('Matte black. Matte black', 44)	('Business black. Business black', 27)
www.mrhightech.com	colour of product	20	color	('Black. Black', 147)	('White. White', 10)	('Black, Silver. Black, Silver', 9)
www.hardware-planet.it	colore del prodotto	20	color	('Nero', 239)	('Bianco', 24)	('Nero, Argento', 11)
www.nexus-t.co.uk	unit colour stand	20	color	('Black', 86)	('Glossy Black', 16)	('Black and Silver', 8)
www.nexus-t.co.uk	unit colour rear	20	color	('Black', 121)	('Glossy Black', 4)	('White', 3)
www.mediashopuk.com	colour of product	20	color	('Black. Black', 147)	('White. White', 10)	('Black, Silver. Black, Silver', 9)
www.best-deal-items.com	product color	20	color	('Black', 3)		
www.itenergy.co.uk	colour	20	color	('Black', 202)	('Glossy Black', 19)	('Matte Black', 15)
www.ebay.com	product color	20	color	('Black', 36)	('Black , Silver', 1)	('Gray', 1)
ce.yikus.com	color	20	color	(': Black', 122)	(': White', 4)	(': Dark Gray', 4)
www.officedepot.com	color	20	color	('Black', 124)	('Matte Black', 9)	('Glossy Black', 6)
www.cleverboxes.com	colour	20	color	('Silver', 3)	('Black', 3)	
www.makingbuyingeasy.co.uk	colour of product	20	color	('Black. Black', 459)	('White. White', 34)	('Grey. Grey', 28)
www.best-deal-items.com	colour	20	color	('Black & Silver', 4)	('Black', 3)	('White', 1)
www.cleverboxes.com	case colour	20	color	('Black', 315)	('White', 20)	('Silver', 16)
www.planet-computer.it	colore del prodotto	20	color	('Nero', 123)	('Argento', 10)	('Bianco', 7)
www.ebay.com	exterior color	20	color	('Gray', 1)	('Silver', 1)	('Black', 1)
www.xpcpro.com	colour of product	20	color	('Black', 207)	('White', 33)	('Grey', 12)
www.odsi.co.uk	colour	20	color	('Black', 79)	('Black. Black', 34)	('White. White', 14)
www.ohc24.ch	colour	20	color	('Black', 311)	('White', 61)	('Matte black', 34)
www.pcconnection.com	color	20	color	('Black', 347)	('White', 35)	('Gray', 12)
www.kingsfieldcomputers.co.uk	colour	20	color	('Black', 304)	('White', 25)	('Glossy Black', 23)
www.xpcpro.com	feet colour	20	color	('Black', 9)	('White', 4)	('Silver', 1)
www.odsi.co.uk	enclosure colour	20	color	('Black', 38)	('Business black', 1)	
www.hardware-planet.it	colore piedi	20	color	('Nero', 5)	('Bianco', 3)	
www.nexus-t.co.uk	unit colour front	20	color	('Black', 95)	('Glossy Black', 18)	('Silver and Black', 6)
www.jrlinton.co.uk	colour	20	color	('Black', 580)	('Glossy Black', 55)	('White', 45)
www.pc-canada.com	color	20	color	('Black', 70)	('Business Black', 5)	('Black, Silver', 3)
www.imldirect.it	colour	20	color	('Black', 394)	('Glossy Black', 37)	('Matte Black', 32)
www.planet-computer.it	colore del piede	20	color	('Nero', 10)	('Bianco', 2)	('Argento', 1)
www.shopmania.com	contrast ratio	6	contrast_ratio	('1000:1', 68)	('3000:1 (more than 88%)', 8)	('1200:1 (more than 78%)', 3)
www.planet-computer.it	rapporto di contrasto	6	contrast_ratio	('1000:1', 129)	('600:1', 11)	('3000:1', 7)
www.mediashopuk.com	contrast ratio typical	6	contrast_ratio	('1000:1', 95)	('3000:1', 10)	('1200:1', 3)
www.pcconnection.com	contrast ratio	6	contrast_ratio	('1000:1', 36)	('100,000,000:1', 34)	('500:1', 9)
www.softwarecity.ca	contrast ratio	6	contrast_ratio	('1,000:1', 133)	('100,000,000:1', 47)	('50,000,000:1', 22)
www.ebay.com	contrast ratio	6	contrast_ratio	('1000', 586)	('1000:1', 266)	('800', 134)
www.nexus-t.co.uk	dynamic contrast ratio	6	contrast_ratio	('50, 000, 000:1', 31)	('20, 000, 000:1', 30)	('80, 000, 000:1', 29)
www.kingsfieldcomputers.co.uk	contrast ratio	6	contrast_ratio	('1,000:1', 260)	('100,000,000:1', 68)	('20,000,000:1', 26)
www.makingbuyingeasy.co.uk	contrast ratio typical	6	contrast_ratio	('1000:1', 329)	('3000:1', 22)	('500:1', 22)
www.cleverboxes.com	contrast ratio	6	contrast_ratio	('1,000:1 (Static)', 82)	('1,000:1 (Static) , 20,000,000:1 (Dynamic)', 70)	('100,000,000:1 (Dynamic)', 33)
www.xpcpro.com	contrast ratio dynamic	6	contrast_ratio	('20000000:1', 70)	('5000000:1', 56)	('Mega Contrast', 26)
www.officedepot.com	contrast ratio	6	contrast_ratio	('1,000:1', 98)	('100,000,000:1', 29)	('50,000,000:1', 13)
www.xpcpro.com	contrast ratio typical	6	contrast_ratio	('1000:1', 222)	('3000:1', 6)	('600:1', 5)
www.odsi.co.uk	contrast ratio	6	contrast_ratio	('1000:1 / 25000:1 (dynamic). 1000:1 / 25000:1 (dynamic)', 26)	('1000:1. 1000:1', 25)	('100000000:1 (dynamic)', 22)
www.planet-computer.it	rapporto di contrasto dinamico	6	contrast_ratio	('20000000:1', 69)	('5000000:1', 20)	('10000000:1', 19)
www.shopmania.com	dynamic contrast ratio	6	contrast_ratio	('80000000:1 (more than 97%)', 16)	('50000000:1 (more than 94%)', 16)	('20000000:1 (more than 85%)', 11)
www.pc-canada.com	contrast ratio	6	contrast_ratio	('1,000:1', 51)	('100,000,000:1', 14)	('80,000,000:1', 10)
www.itenergy.co.uk	contrast ratio	6	contrast_ratio	('1,000:1', 167)	('100,000,000:1', 40)	('5,000,000:1', 31)
www.makingbuyingeasy.co.uk	contrast ratio dynamic	6	contrast_ratio	('5000000:1', 79)	('20000000:1', 76)	('100000000:1', 54)
www.mediashopuk.com	contrast ratio dynamic	6	contrast_ratio	('20000000:1', 33)	('5000000:1', 23)	('50000000:1', 16)
www.odsi.co.uk	image contrast ratio	6	contrast_ratio	('4000:1', 22)	('3000:1', 10)	('3500:1', 9)
www.vology.com	contrast ratio	6	contrast_ratio	('1000:1. 1000:1', 107)	('100000000:1 (dynamic). 100000000:1 (dynamic)', 46)	('1000:1 / 5000000:1 (dynamic). 1000:1 / 5000000:1 (dynamic)', 41)
www.mrhightech.com	contrast ratio dynamic	6	contrast_ratio	('20000000:1', 33)	('5000000:1', 23)	('10000000:1', 16)
www.hardware-planet.it	rapporto di contrasto	6	contrast_ratio	('1000:1', 180)	('3000:1', 10)	('1200:1', 4)
www.ohc24.ch	contrast ratio	6	contrast_ratio	('1000:1', 198)	('1000:1 / 20000000:1 (dynamic)', 90)	('1000:1 / 5000000:1 (dynamic)', 89)
www.imldirect.it	contrast ratio	6	contrast_ratio	('1,000:1', 304)	('100,000,000:1', 96)	('5,000,000:1', 58)
www.nexus-t.co.uk	contrast ratio	6	contrast_ratio	('1000:1', 92)	('600:1', 10)	('3000:1', 8)
ca.pcpartpicker.com	contrast ratio	6	contrast_ratio	('1000:1', 231)	('100,000,000:1', 22)	('20,000,000:1', 19)
www.mrhightech.com	contrast ratio typical	6	contrast_ratio	('1000:1', 95)	('3000:1', 10)	('5000:1', 3)
catalog.com	contrast ratio	6	contrast_ratio	('1000:1', 71)	('500:1', 9)	('400:1', 6)
www.jrlinton.co.uk	contrast ratio	6	contrast_ratio	('1,000:1', 445)	('100,000,000:1', 114)	('5,000,000:1', 63)
www.hardware-planet.it	rapporto di contrasto dinamico	6	contrast_ratio	('5000000:1', 80)	('80000000:1', 47)	('50000000:1', 41)
ca.pcpartpicker.com	displayport	33	displayport_port	('1', 201)	('2', 12)	
www.officedepot.com	displayport	33	displayport_port	('Yes', 60)	('No', 5)	
www.nexus-t.co.uk	displayports	33	displayport_port	('1', 43)		
www.jrlinton.co.uk	displayport	33	displayport_port	('Yes', 357)	('No', 71)	
www.imldirect.it	displayport	33	displayport_port	('Yes', 261)	('No', 60)	
www.hardware-planet.it	quantità displayports	33	displayport_port	('1', 57)	('2', 6)	
www.pc-canada.com	displayport	33	displayport_port	('Yes', 43)	('No', 2)	
www.softwarecity.ca	displayport	33	displayport_port	('Yes', 150)	('No', 21)	
www.makingbuyingeasy.co.uk	displayports quantity	33	displayport_port	('1', 151)	('2', 4)	
www.cleverboxes.com	displayport in	33	displayport_port	('1 x DisplayPort', 83)	('1 x DisplayPort (with HDCP)', 16)	('1 x DisplayPort 1.2', 11)
www.mrhightech.com	displayports quantity	33	displayport_port	('1', 29)	('2', 2)	
www.mediashopuk.com	displayports quantity	33	displayport_port	('1', 29)	('2', 2)	
www.xpcpro.com	displayports quantity	33	displayport_port	('1', 69)	('2', 6)	
www.itenergy.co.uk	displayport	33	displayport_port	('Yes', 130)	('No', 14)	
www.planet-computer.it	quantità displayports	33	displayport_port	('1', 49)		
www.makingbuyingeasy.co.uk	mini displayport quantity	33	displayport_port	('1', 9)		
www.nexus-t.co.uk	displayports out	33	displayport_port	('1', 3)		
ca.pcpartpicker.com	minidisplay port	33	displayport_port	('1', 8)		
www.kingsfieldcomputers.co.uk	displayport	33	displayport_port	('Yes', 184)	('No', 38)	
www.imldirect.it	dvi	14	dvi_port	('Yes', 594)	('No', 35)	
www.mediashopuk.com	dvi port	14	dvi_port	('Yes', 68)	('No', 18)	
www.mrhightech.com	dvii ports quantity	14	dvi_port	('1', 7)		
www.kingsfieldcomputers.co.uk	dvi	14	dvi_port	('Yes', 450)	('No', 17)	
www.makingbuyingeasy.co.uk	dvi port	14	dvi_port	('Yes', 224)	('No', 86)	
www.hardware-planet.it	porta dvi	14	dvi_port	('Si', 135)	('No', 31)	('N', 22)
